"state","code","value","count"
"Alabama","AL",3398119,196
"Arizona","AZ",31487828,5329
"California","CA",16330227,4624
"Colorado","CO",1314592,64
"Connecticut","CT",9999774,49
"Florida","FL",434829,25
"Illinois","IL",784273,121
"Iowa","IA",147600,9
"Maryland","MD",553255135,676
"Massachusetts","MA",2600566,121
"Minnesota","MN",210573,9
"Missouri","MO",5877127,576
"New Hampshire","NH",5200226,169
"New York","NY",273836,36
"North Carolina","NC",308336,4
"Ohio","OH",339079,36
"Oklahoma","OK",93660,4
"Oregon","OR",1193104,16
"Pennsylvania","PA",5003612,324
"Tennessee","TN",3002162,121
"Utah","UT",985684,100
"Virginia","VA",7016226,121
"West Virginia","WV",4325112,4
"Wisconsin","WI",750824,100
